sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.65;5.37;8.46;-0.12;4.3;8.81;-0.47;0.67;-0.43;-1.07;0.72;-0.27;31.07;-23.0;-14.0;-41.0;59.0;-32.0;-6.0;0.0;23.7;47.479;8.211;403.0;NaN;;24.331;;0 / 0;14;2022-09-27 11:16:12:662
-0.41;5.01;9.98;-0.12;4.3;8.81;-0.47;0.67;-0.43;0.08;0.46;0.57;31.07;-23.0;-14.0;-41.0;59.0;-32.0;-6.0;0.0;23.7;47.479;8.211;403.0;NaN;;24.331;;0 / 0;62;2022-09-27 11:16:12:710
-0.41;5.01;9.98;-0.12;4.3;8.81;-0.47;0.67;-0.43;0.08;0.46;0.57;31.07;-22.0;-10.0;-42.0;68.0;-26.0;1.0;0.0;23.7;47.479;8.211;403.0;NaN;;24.331;;0 / 0;109;2022-09-27 11:16:12:757
-0.43;5.34;8.14;-0.08;4.24;8.84;0.64;0.78;-1.76;0.08;0.46;0.57;31.07;-22.0;-10.0;-42.0;68.0;-26.0;1.0;0.0;23.7;47.479;8.211;403.0;NaN;;24.331;;0 / 0;157;2022-09-27 11:16:12:805
-0.43;5.34;8.14;-0.08;4.24;8.84;0.64;0.78;-1.76;-0.14;0.7;0.5;31.07;-22.0;-10.0;-42.0;68.0;-26.0;1.0;0.0;23.7;47.479;8.211;403.0;NaN;;24.331;;0 / 0;205;2022-09-27 11:16:12:853
0.11;3.2;11.95;-0.08;4.24;8.84;0.64;0.78;-1.76;-0.14;0.7;0.5;31.07;-22.0;-10.0;-42.0;68.0;-26.0;1.0;0.0;31.9;47.479;8.211;403.0;NaN;;24.331;;0 / 0;253;2022-09-27 11:16:12:901
0.11;3.2;11.95;-0.15;3.68;9.09;0.98;0.57;0.67;-0.14;0.7;0.5;31.07;-22.0;-8.0;-42.0;70.0;-22.0;1.0;0.0;31.9;47.479;8.211;403.0;NaN;;24.331;;0 / 0;301;2022-09-27 11:16:12:949
0.6;1.83;13.64;-0.15;3.68;9.09;0.98;0.57;0.67;-0.66;-0.32;-0.11;31.07;-22.0;-8.0;-42.0;70.0;-22.0;1.0;0.0;31.9;47.479;8.211;403.0;NaN;;24.331;;0 / 0;349;2022-09-27 11:16:12:997
0.6;1.83;13.64;-0.15;3.68;9.09;0.98;0.57;0.67;-0.66;-0.32;-0.11;31.07;-22.0;-8.0;-42.0;70.0;-22.0;1.0;0.0;31.9;47.479;8.211;403.0;NaN;;24.331;;0 / 0;397;2022-09-27 11:16:13:045
0.74;1.97;11.04;0.72;2.5;9.46;-0.21;-0.56;4.27;-0.25;0.78;0.15;31.07;-22.0;-8.0;-42.0;70.0;-22.0;1.0;0.0;31.9;47.479;8.211;403.0;NaN;;24.331;;0 / 0;445;2022-09-27 11:16:13:093
0.74;1.97;11.04;0.72;2.5;9.46;-0.21;-0.56;4.27;-0.25;0.78;0.15;31.07;-22.0;-8.0;-42.0;70.0;-22.0;1.0;0.0;31.9;47.479;8.211;403.0;NaN;;24.331;;0 / 0;493;2022-09-27 11:16:13:141
