sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
2.77406;4.6547;7.36815;3.10231;5.64723;7.39289;-0.48612;-0.06142;-0.07431;-0.0577;0.18652;-0.1629;13.94559;5.647;-17.31;-33.414;277.125;-35.16;-22.765;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;17;2022-09-27 20:14:50:808
2.77406;4.6547;7.36815;3.10231;5.64723;7.39289;-0.48612;-0.06142;-0.07431;-0.0577;0.18652;-0.1629;13.94559;5.647;-17.31;-33.414;277.125;-35.16;-22.765;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;28;2022-09-27 20:14:50:819
2.77406;4.6547;7.36815;3.10231;5.64723;7.39289;-0.48612;-0.06142;-0.07431;-0.50572;0.54978;-0.04603;13.94559;5.647;-17.31;-33.414;277.125;-35.16;-22.765;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;37;2022-09-27 20:14:50:828
2.77406;4.6547;7.36815;3.10231;5.64723;7.39289;-0.48612;-0.06142;-0.07431;-0.50572;0.54978;-0.04603;13.94559;5.647;-17.31;-33.414;277.125;-35.16;-22.765;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;47;2022-09-27 20:14:50:838
2.77406;4.6547;7.36815;3.10231;5.64723;7.39289;-0.48612;-0.06142;-0.07431;-0.50572;0.54978;-0.04603;13.94559;5.647;-17.31;-33.414;277.125;-35.16;-22.765;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;57;2022-09-27 20:14:50:848
3.61727;5.47635;9.4594;3.10231;5.64723;7.39289;-0.48612;-0.06142;-0.07431;-0.50572;0.54978;-0.04603;13.94559;5.647;-17.31;-33.414;277.125;-35.16;-22.765;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;67;2022-09-27 20:14:50:858
3.61727;5.47635;9.4594;2.43205;5.29224;7.88972;-0.44089;0.56876;0.38168;-0.50572;0.54978;-0.04603;13.94559;5.647;-17.31;-33.414;277.125;-35.16;-22.765;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;77;2022-09-27 20:14:50:868
3.61727;5.47635;9.4594;2.43205;5.29224;7.88972;-0.44089;0.56876;0.38168;-0.50572;0.54978;-0.04603;13.94559;5.647;-17.31;-33.414;277.125;-35.16;-22.765;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;86;2022-09-27 20:14:50:877
3.61727;5.47635;9.4594;2.43205;5.29224;7.88972;-0.44089;0.56876;0.38168;-0.50572;0.54978;-0.04603;13.94559;5.647;-17.31;-33.414;277.125;-35.16;-22.765;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;97;2022-09-27 20:14:50:888
3.61727;5.47635;9.4594;2.43205;5.29224;7.88972;-0.44089;0.56876;0.38168;-0.50572;0.54978;-0.04603;13.94559;5.647;-17.31;-33.414;277.125;-35.16;-22.765;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;107;2022-09-27 20:14:50:898
3.61727;5.47635;9.4594;2.43205;5.29224;7.88972;-0.44089;0.56876;0.38168;-0.50572;0.54978;-0.04603;13.94559;5.647;-17.31;-33.414;277.125;-35.16;-22.765;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;117;2022-09-27 20:14:50:908
3.61727;5.47635;9.4594;2.43205;5.29224;7.88972;-0.44089;0.56876;0.38168;-0.50572;0.54978;-0.04603;13.94559;5.647;-17.31;-33.414;277.125;-35.16;-22.765;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;127;2022-09-27 20:14:50:918
3.61727;5.47635;9.4594;2.43205;5.29224;7.88972;-0.44089;0.56876;0.38168;-0.50572;0.54978;-0.04603;13.94559;5.647;-17.31;-33.414;277.125;-35.16;-22.765;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;137;2022-09-27 20:14:50:928
3.61727;5.47635;9.4594;2.43205;5.29224;7.88972;-0.44089;0.56876;0.38168;-0.50572;0.54978;-0.04603;13.94559;5.647;-17.31;-33.414;277.125;-35.16;-22.765;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;147;2022-09-27 20:14:50:938
3.61727;5.47635;9.4594;2.43205;5.29224;7.88972;-0.44089;0.56876;0.38168;-0.50572;0.54978;-0.04603;13.94559;5.647;-17.31;-33.414;277.125;-35.16;-22.765;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;157;2022-09-27 20:14:50:948
2.57044;5.01882;8.73118;2.43205;5.29224;7.88972;-0.44089;0.56876;0.38168;-0.50572;0.54978;-0.04603;13.94559;5.44;-15.955;-34.348;282.461;-32.66;-17.132;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;166;2022-09-27 20:14:50:957
2.57044;5.01882;8.73118;2.43205;5.29224;7.88972;-0.44089;0.56876;0.38168;-0.15068;0.16659;-0.02168;13.94559;5.44;-15.955;-34.348;282.461;-32.66;-17.132;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;177;2022-09-27 20:14:50:968
2.57044;5.01882;8.73118;2.43205;5.29224;7.88972;-0.44089;0.56876;0.38168;-0.15068;0.16659;-0.02168;13.94559;5.44;-15.955;-34.348;282.461;-32.66;-17.132;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;187;2022-09-27 20:14:50:978
2.57044;5.01882;8.73118;2.43205;5.29224;7.88972;-0.44089;0.56876;0.38168;-0.15068;0.16659;-0.02168;13.94559;5.44;-15.955;-34.348;282.461;-32.66;-17.132;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;197;2022-09-27 20:14:50:988
2.57044;5.01882;8.73118;2.43205;5.29224;7.88972;-0.44089;0.56876;0.38168;-0.15068;0.16659;-0.02168;13.94559;5.44;-15.955;-34.348;282.461;-32.66;-17.132;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;228;2022-09-27 20:14:51:019
2.57044;5.01882;8.73118;2.43205;5.29224;7.88972;-0.44089;0.56876;0.38168;-0.15068;0.16659;-0.02168;13.94559;5.44;-15.955;-34.348;282.461;-32.66;-17.132;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;228;2022-09-27 20:14:51:019
2.57044;5.01882;8.73118;2.43205;5.29224;7.88972;-0.44089;0.56876;0.38168;-0.15068;0.16659;-0.02168;13.94559;5.44;-15.955;-34.348;282.461;-32.66;-17.132;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;229;2022-09-27 20:14:51:020
2.57044;5.01882;8.73118;2.3081;4.99783;8.11571;-0.20547;-0.15169;-1.1102;-0.15068;0.16659;-0.02168;13.94559;5.44;-15.955;-34.348;282.461;-32.66;-17.132;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;237;2022-09-27 20:14:51:028
2.57044;5.01882;8.73118;2.3081;4.99783;8.11571;-0.20547;-0.15169;-1.1102;-0.15068;0.16659;-0.02168;13.94559;5.44;-15.955;-34.348;282.461;-32.66;-17.132;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;246;2022-09-27 20:14:51:037
2.57044;5.01882;8.73118;2.3081;4.99783;8.11571;-0.20547;-0.15169;-1.1102;-0.15068;0.16659;-0.02168;13.94559;5.44;-15.955;-34.348;282.461;-32.66;-17.132;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;258;2022-09-27 20:14:51:049
1.89252;4.58284;9.73728;2.3081;4.99783;8.11571;-0.20547;-0.15169;-1.1102;-0.15068;0.16659;-0.02168;13.94559;5.44;-15.955;-34.348;282.461;-32.66;-17.132;5.0;48.154;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;267;2022-09-27 20:14:51:058
1.89252;4.58284;9.73728;2.3081;4.99783;8.11571;-0.20547;-0.15169;-1.1102;-0.15068;0.16659;-0.02168;13.94559;5.44;-15.955;-34.348;282.461;-32.66;-17.132;5.0;50.757;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;278;2022-09-27 20:14:51:069
1.89252;4.58284;9.73728;2.3081;4.99783;8.11571;-0.20547;-0.15169;-1.1102;-0.15068;0.16659;-0.02168;13.94559;5.44;-15.955;-34.348;282.461;-32.66;-17.132;5.0;50.757;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;296;2022-09-27 20:14:51:087
1.89252;4.58284;9.73728;2.3081;4.99783;8.11571;-0.20547;-0.15169;-1.1102;-0.15068;0.16659;-0.02168;13.94559;5.44;-15.955;-34.348;282.461;-32.66;-17.132;5.0;50.757;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;296;2022-09-27 20:14:51:087
1.89252;4.58284;9.73728;2.3081;4.99783;8.11571;-0.20547;-0.15169;-1.1102;-0.15068;0.16659;-0.02168;13.94559;5.44;-15.955;-34.348;282.461;-32.66;-17.132;5.0;50.757;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;307;2022-09-27 20:14:51:098
1.89252;4.58284;9.73728;2.3081;4.99783;8.11571;-0.20547;-0.15169;-1.1102;0.09448;0.40216;-0.22469;13.94559;5.44;-15.955;-34.348;282.461;-32.66;-17.132;5.0;50.757;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;319;2022-09-27 20:14:51:110
1.89252;4.58284;9.73728;2.3081;4.99783;8.11571;-0.20547;-0.15169;-1.1102;0.09448;0.40216;-0.22469;13.94559;5.44;-15.955;-34.348;282.461;-32.66;-17.132;5.0;50.757;47.4791;8.211027;402.7;NaN;;23.402;;0 / 2;328;2022-09-27 20:14:51:119
