time,gFx,gFy,gFz,TgF
0.0040625,0.0257,0.3552,0.7966,0.873
0.005169062,0.0237,0.3591,0.7863,0.865
0.005819843,0.0198,0.3630,0.7770,0.858
0.00634125,0.0159,0.3684,0.7726,0.856
0.006873385,0.0139,0.3757,0.7726,0.859
0.00767552,0.0139,0.3787,0.7756,0.863
0.008423906,0.0120,0.3826,0.7795,0.868
0.008973541,0.0105,0.3855,0.7834,0.873
0.009926406,0.0105,0.3875,0.7888,0.879
0.010691354,0.0120,0.3875,0.7946,0.884
0.011169948,0.0139,0.3870,0.8010,0.890
0.011602656,0.0154,0.3875,0.8078,0.896
0.012014114,0.0169,0.3870,0.8137,0.901
0.012397864,0.0179,0.3865,0.8205,0.907
0.012791666,0.0179,0.3875,0.8269,0.913
0.013186093,0.0179,0.3884,0.8342,0.920
0.013523593,0.0198,0.3904,0.8381,0.925
0.01386526,0.0183,0.3953,0.8455,0.933
0.014245833,0.0169,0.3972,0.8504,0.939
0.014600156,0.0159,0.4002,0.8562,0.945
0.020265781,0.0174,0.4051,0.8582,0.949
0.021113802,0.0169,0.4109,0.8616,0.955
0.021586875,0.0179,0.4168,0.8670,0.962
0.02200552,0.0188,0.4231,0.8675,0.965
0.030619843,0.0198,0.4261,0.8694,0.968
0.03123677,0.0242,0.4300,0.8704,0.971
0.031666093,0.0267,0.4334,0.8724,0.974
0.032038593,0.0291,0.4368,0.8733,0.977
0.032363541,0.0350,0.4388,0.8753,0.980
0.034813698,0.0384,0.4393,0.8758,0.981
0.036942448,0.0428,0.4417,0.8772,0.983
0.038719166,0.0462,0.4412,0.8782,0.984
0.046294583,0.0506,0.4427,0.8787,0.985
0.046820729,0.0526,0.4432,0.8782,0.985
0.047113229,0.0506,0.4437,0.8812,0.988
0.04732177,0.0506,0.4442,0.8826,0.989
0.047887291,0.0506,0.4442,0.8870,0.993
0.050981718,0.0496,0.4471,0.8924,0.999
0.052196302,0.0496,0.4451,0.8983,1.004
0.054808906,0.0501,0.4461,0.9032,1.009
0.059022708,0.0487,0.4461,0.9090,1.014
0.060249062,0.0491,0.4451,0.9154,1.019
0.060799375,0.0496,0.4442,0.9193,1.022
0.06264302,0.0511,0.4427,0.9247,1.026
0.064759635,0.0531,0.4403,0.9261,1.027
0.067391041,0.0531,0.4388,0.9291,1.029
0.067846927,0.0545,0.4344,0.9315,1.029
0.070487343,0.0565,0.4310,0.9359,1.032
0.072020468,0.0584,0.4285,0.9384,1.033
0.075928385,0.0594,0.4251,0.9413,1.035
0.077233229,0.0589,0.4251,0.9437,1.037
0.07979427,0.0579,0.4261,0.9452,1.038
0.080467656,0.0565,0.4236,0.9447,1.037
0.082061354,0.0521,0.4217,0.9457,1.037
0.08479052,0.0496,0.4192,0.9467,1.037
0.087490364,0.0472,0.4153,0.9462,1.034
0.088017604,0.0443,0.4158,0.9462,1.034
0.090934843,0.0428,0.4134,0.9452,1.033
0.094255625,0.0399,0.4109,0.9442,1.031
0.096148958,0.0379,0.4085,0.9432,1.029
0.097284114,0.0350,0.4099,0.9403,1.026
0.097998125,0.0301,0.4104,0.9374,1.024
0.100648802,0.0271,0.4114,0.9335,1.020
0.102103177,0.0227,0.4119,0.9320,1.019
0.104610364,0.0203,0.4075,0.9276,1.013
0.110188385,0.0198,0.4060,0.9212,1.007
0.11105526,0.0193,0.4046,0.9168,1.002
0.111565104,0.0198,0.4016,0.9129,0.998
0.112330156,0.0193,0.4002,0.9076,0.992
0.115131614,0.0218,0.3982,0.9036,0.988
0.116709635,0.0237,0.3953,0.8983,0.982
0.118331614,0.0237,0.3933,0.8939,0.977
0.120247552,0.0232,0.3933,0.8895,0.973
0.123377239,0.0271,0.3914,0.8880,0.971
0.126565104,0.0262,0.3924,0.8826,0.966
0.128477552,0.0276,0.3933,0.8782,0.963
0.129328593,0.0281,0.3924,0.8748,0.959
0.131398177,0.0271,0.3924,0.8709,0.956
0.132311093,0.0262,0.3953,0.8680,0.954
0.135321875,0.0276,0.3958,0.8650,0.952
0.137085104,0.0296,0.3963,0.8616,0.949
0.13792875,0.0306,0.3967,0.8596,0.947
0.140711093,0.0320,0.3967,0.8616,0.949
0.143767031,0.0345,0.3963,0.8640,0.951
0.145137604,0.0389,0.3977,0.8680,0.956
0.148192083,0.0418,0.3977,0.8714,0.959
0.148899114,0.0438,0.3972,0.8748,0.962
0.150168489,0.0443,0.3992,0.8792,0.967
0.153010625,0.0462,0.4021,0.8831,0.971
0.155137552,0.0472,0.4026,0.8851,0.973
0.159344791,0.0457,0.4046,0.8904,0.979
0.160216927,0.0452,0.4065,0.8948,0.984
0.160723437,0.0443,0.4070,0.8992,0.988
0.162259791,0.0423,0.4099,0.9022,0.992
0.165040677,0.0433,0.4075,0.9085,0.997
0.167817187,0.0452,0.4055,0.9129,1.000
0.168535833,0.0457,0.4046,0.9203,1.006
0.171538854,0.0438,0.4080,0.9252,1.012
0.172251666,0.0423,0.4109,0.9320,1.019
0.177518333,0.0403,0.4129,0.9354,1.023
0.178509114,0.0403,0.4153,0.9393,1.028
0.179010885,0.0369,0.4173,0.9393,1.029
