
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,I,Azimuth,Pitch,Roll,Gain,Latitude,Longitude,Speed (m/s),
0.098210,0.0009,-0.0011,0.9963,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.098631,0.0001,-0.0012,0.9953,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-∞,47.47906572,8.21117383,0.72000003,
0.098923,0.0001,-0.0012,0.9953,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.8739,0.0000,0.0000,0.0000,-∞,47.47906572,8.21117383,0.72000003,
0.099178,-0.0002,-0.0005,0.9967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.8739,0.0000,0.0000,0.0000,-∞,47.47906572,8.21117383,0.72000003,
0.112346,0.0009,-0.0008,0.9959,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.8739,0.0000,0.0000,0.0000,-∞,47.47906572,8.21117383,0.72000003,
0.128889,0.0007,-0.0006,0.9957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.8739,0.0000,0.0000,0.0000,-∞,47.47906572,8.21117383,0.72000003,
0.129721,0.0007,-0.0006,0.9957,0.0000,0.0000,0.0000,0.0000,0.0004,-0.0001,0.0000,0.0000,0.0000,64.8739,0.0000,0.0000,0.0000,-∞,47.47906572,8.21117383,0.72000003,
0.138397,0.0007,-0.0006,0.9957,0.0000,0.0000,0.0000,0.0000,0.0004,-0.0001,0.0000,0.0000,0.0000,64.8739,333.8750,-34.4531,3.5625,-∞,47.47906572,8.21117383,0.72000003,
0.147937,-0.0001,-0.0006,0.9960,0.0000,0.0000,0.0000,0.0000,0.0004,-0.0001,0.0000,0.0000,0.0000,64.8739,333.8750,-34.4531,3.5625,-∞,47.47906572,8.21117383,0.72000003,
0.168721,-0.0004,-0.0009,0.9959,0.0000,0.0000,0.0000,0.0000,0.0004,-0.0001,0.0000,0.0000,0.0000,64.8739,333.8750,-34.4531,3.5625,-∞,47.47906572,8.21117383,0.72000003,
0.179078,-0.0004,-0.0009,0.9959,0.0000,0.0000,0.0000,0.0000,0.0004,-0.0001,0.0000,0.0000,0.0000,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.188735,0.0007,-0.0011,0.9964,0.0000,0.0000,0.0000,0.0000,0.0004,-0.0001,0.0000,0.0000,0.0000,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.193865,0.0007,-0.0011,0.9964,0.0000,0.0000,0.0000,0.0003,-0.0001,-0.0000,0.0000,0.0000,0.0000,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.198518,0.0007,-0.0011,0.9964,0.0000,0.0000,0.0000,0.0003,-0.0001,-0.0000,11.8900,13.9529,-36.3931,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.203644,0.0007,-0.0011,0.9964,0.0000,0.0000,0.0000,0.0003,-0.0001,-0.0000,11.8900,13.9529,-36.3931,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.211129,-0.0001,-0.0003,0.9964,0.0000,0.0000,0.0000,0.0003,-0.0001,-0.0000,11.8900,13.9529,-36.3931,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.220672,-0.0001,-0.0003,0.9964,0.0000,0.0000,0.0000,0.0003,-0.0001,-0.0000,11.8900,13.9529,-36.3931,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.228303,0.0001,-0.0009,0.9963,0.0000,0.0000,0.0000,0.0003,-0.0001,-0.0000,11.8900,13.9529,-36.3931,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.248709,0.0011,-0.0013,0.9956,0.0000,0.0000,0.0000,0.0003,-0.0001,-0.0000,11.8900,13.9529,-36.3931,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.259721,0.0011,-0.0013,0.9956,0.0000,0.0000,0.0000,0.0003,-0.0001,-0.0000,12.0714,14.8231,-37.2742,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.261783,0.0011,-0.0013,0.9956,0.0000,0.0000,0.0000,0.0003,0.0002,0.0002,12.0714,14.8231,-37.2742,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.263094,0.0011,-0.0013,0.9956,0.0000,0.0000,0.0000,0.0003,0.0002,0.0002,12.0714,14.8231,-37.2742,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.268057,0.0011,-0.0013,0.9956,-0.0014,-0.0002,0.0000,0.0003,0.0002,0.0002,12.0714,14.8231,-37.2742,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.269694,-0.0001,-0.0005,0.9967,-0.0014,-0.0002,0.0000,0.0003,0.0002,0.0002,12.0714,14.8231,-37.2742,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.288461,-0.0002,-0.0009,0.9970,-0.0014,-0.0002,0.0000,0.0003,0.0002,0.0002,12.0714,14.8231,-37.2742,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.304070,-0.0002,-0.0009,0.9970,-0.0014,-0.0002,0.0000,0.0003,0.0002,0.0002,12.0714,14.8231,-37.2742,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.310177,-0.0002,-0.0006,0.9968,-0.0014,-0.0002,0.0000,0.0003,0.0002,0.0002,12.0714,14.8231,-37.2742,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.319262,-0.0002,-0.0006,0.9968,-0.0014,-0.0002,0.0000,0.0003,0.0002,0.0002,11.8500,15.1296,-37.1444,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.325082,-0.0002,-0.0006,0.9968,-0.0014,-0.0002,0.0000,0.0002,0.0001,-0.0000,11.8500,15.1296,-37.1444,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.329799,0.0001,-0.0002,0.9970,-0.0014,-0.0002,0.0000,0.0002,0.0001,-0.0000,11.8500,15.1296,-37.1444,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.333653,0.0001,-0.0002,0.9970,-0.0004,-0.0014,0.0007,0.0002,0.0001,-0.0000,11.8500,15.1296,-37.1444,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.345741,0.0001,-0.0002,0.9970,-0.0004,-0.0014,0.0007,0.0002,0.0001,-0.0000,11.8500,15.1296,-37.1444,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.348696,0.0004,-0.0008,0.9971,-0.0004,-0.0014,0.0007,0.0002,0.0001,-0.0000,11.8500,15.1296,-37.1444,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.368787,0.0001,-0.0008,0.9968,-0.0004,-0.0014,0.0007,0.0002,0.0001,-0.0000,11.8500,15.1296,-37.1444,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.388836,0.0001,-0.0008,0.9968,-0.0004,-0.0014,0.0007,0.0002,0.0001,-0.0000,11.8500,15.1296,-37.1444,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.390619,0.0001,-0.0008,0.9968,-0.0004,-0.0014,0.0007,-0.0001,-0.0001,0.0004,11.8500,15.1296,-37.1444,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.392115,-0.0001,-0.0011,0.9969,-0.0004,-0.0014,0.0007,-0.0001,-0.0001,0.0004,11.8500,15.1296,-37.1444,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.400585,-0.0001,-0.0011,0.9969,-0.0025,0.0011,0.0055,-0.0001,-0.0001,0.0004,11.8500,15.1296,-37.1444,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.402322,-0.0001,-0.0011,0.9969,-0.0025,0.0011,0.0055,-0.0001,-0.0001,0.0004,12.7322,15.1733,-38.5835,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.410095,0.0006,-0.0009,0.9963,-0.0025,0.0011,0.0055,-0.0001,-0.0001,0.0004,12.7322,15.1733,-38.5835,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.429848,0.0006,-0.0009,0.9963,-0.0025,0.0011,0.0055,-0.0001,-0.0001,0.0004,12.7322,15.1733,-38.5835,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.431544,0.0007,-0.0007,0.9973,-0.0025,0.0011,0.0055,-0.0001,-0.0001,0.0004,12.7322,15.1733,-38.5835,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.449596,0.0001,-0.0005,0.9971,-0.0025,0.0011,0.0055,-0.0001,-0.0001,0.0004,12.7322,15.1733,-38.5835,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.455154,0.0001,-0.0005,0.9971,-0.0025,0.0011,0.0055,0.0003,0.0004,0.0002,12.7322,15.1733,-38.5835,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.460762,0.0001,-0.0005,0.9971,-0.0025,0.0011,0.0055,0.0003,0.0004,0.0002,11.8178,14.4331,-36.7805,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.464205,0.0001,-0.0005,0.9971,-0.0001,-0.0017,0.0041,0.0003,0.0004,0.0002,11.8178,14.4331,-36.7805,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.469415,-0.0006,-0.0009,0.9971,-0.0001,-0.0017,0.0041,0.0003,0.0004,0.0002,11.8178,14.4331,-36.7805,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.471458,-0.0006,-0.0009,0.9971,-0.0001,-0.0017,0.0041,0.0003,0.0004,0.0002,11.8178,14.4331,-36.7805,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.494399,0.0001,-0.0006,0.9978,-0.0001,-0.0017,0.0041,0.0003,0.0004,0.0002,11.8178,14.4331,-36.7805,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.510495,0.0011,-0.0012,0.9973,-0.0001,-0.0017,0.0041,0.0003,0.0004,0.0002,11.8178,14.4331,-36.7805,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.513773,0.0011,-0.0012,0.9973,-0.0001,-0.0017,0.0041,0.0003,0.0004,0.0002,11.8178,14.4331,-36.7805,64.8739,333.5938,-34.7812,3.6719,-∞,47.47906572,8.21117383,0.72000003,
0.520136,0.0011,-0.0012,0.9973,-0.0001,-0.0017,0.0041,0.0003,0.0004,0.0002,11.8178,14.4331,-36.7805,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
0.522833,0.0011,-0.0012,0.9973,-0.0001,-0.0017,0.0041,0.0003,0.0004,0.0002,12.2054,14.1626,-36.8316,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
0.529521,0.0010,-0.0009,0.9960,-0.0001,-0.0017,0.0041,0.0003,0.0004,0.0002,12.2054,14.1626,-36.8316,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
0.531607,0.0010,-0.0009,0.9960,-0.0011,0.0003,0.0044,0.0003,0.0004,0.0002,12.2054,14.1626,-36.8316,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
0.555300,-0.0002,-0.0011,0.9989,-0.0011,0.0003,0.0044,0.0003,0.0004,0.0002,12.2054,14.1626,-36.8316,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
0.557639,-0.0002,-0.0011,0.9989,-0.0011,0.0003,0.0044,0.0003,0.0004,0.0002,12.2054,14.1626,-36.8316,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
0.569965,-0.0001,-0.0003,0.9971,-0.0011,0.0003,0.0044,0.0003,0.0004,0.0002,12.2054,14.1626,-36.8316,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
0.584067,-0.0001,-0.0003,0.9971,-0.0011,0.0003,0.0044,-0.0001,0.0001,0.0002,12.2054,14.1626,-36.8316,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
0.594798,0.0010,-0.0016,0.9975,-0.0011,0.0003,0.0044,-0.0001,0.0001,0.0002,12.2054,14.1626,-36.8316,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
0.596788,0.0010,-0.0016,0.9975,0.0048,-0.0017,0.0047,-0.0001,0.0001,0.0002,12.2054,14.1626,-36.8316,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
0.598536,0.0010,-0.0016,0.9975,0.0048,-0.0017,0.0047,-0.0001,0.0001,0.0002,12.2054,14.1626,-36.8316,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
0.600112,0.0010,-0.0016,0.9975,0.0048,-0.0017,0.0047,-0.0001,0.0001,0.0002,11.9340,15.5435,-36.2875,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
0.610437,0.0006,-0.0007,0.9976,0.0048,-0.0017,0.0047,-0.0001,0.0001,0.0002,11.9340,15.5435,-36.2875,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
0.629025,0.0003,-0.0003,0.9978,0.0048,-0.0017,0.0047,-0.0001,0.0001,0.0002,11.9340,15.5435,-36.2875,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
0.638183,0.0003,-0.0003,0.9978,0.0048,-0.0017,0.0047,-0.0001,0.0001,0.0002,11.9340,15.5435,-36.2875,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
0.649426,0.0003,-0.0003,0.9978,0.0048,-0.0017,0.0047,0.0000,0.0000,0.0001,11.9340,15.5435,-36.2875,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
0.651361,0.0009,-0.0007,0.9975,0.0048,-0.0017,0.0047,0.0000,0.0000,0.0001,11.9340,15.5435,-36.2875,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
0.660514,0.0009,-0.0007,0.9975,0.0048,-0.0017,0.0047,0.0000,0.0000,0.0001,12.3853,15.4260,-37.1725,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
0.663400,0.0009,-0.0007,0.9975,0.0001,-0.0020,0.0096,0.0000,0.0000,0.0001,12.3853,15.4260,-37.1725,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
0.669300,0.0033,-0.0014,0.9964,0.0001,-0.0020,0.0096,0.0000,0.0000,0.0001,12.3853,15.4260,-37.1725,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
0.680097,0.0033,-0.0014,0.9964,0.0001,-0.0020,0.0096,0.0000,0.0000,0.0001,12.3853,15.4260,-37.1725,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
0.689951,0.0350,-0.0148,0.9990,0.0001,-0.0020,0.0096,0.0000,0.0000,0.0001,12.3853,15.4260,-37.1725,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
0.714689,0.3278,-0.1243,0.9985,0.0001,-0.0020,0.0096,0.0000,0.0000,0.0001,12.3853,15.4260,-37.1725,64.8739,333.5938,-34.7812,3.6719,42.2121,47.47906572,8.21117383,0.72000003,
