
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.050526,0.0825,0.5163,0.7660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.050939,0.0973,0.4816,0.7922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.069461,0.0901,0.4641,0.8163,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.081132,0.0991,0.4616,0.8308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.100983,0.0991,0.4616,0.8308,0.0000,0.0000,0.0000,-0.5426,-0.1398,0.0396,
0.101995,0.0966,0.4665,0.9118,0.0000,0.0000,0.0000,-0.5426,-0.1398,0.0396,
0.121238,0.1083,0.4669,0.9483,0.0000,0.0000,0.0000,-0.5426,-0.1398,0.0396,
0.147375,0.1048,0.4821,0.9001,0.0000,0.0000,0.0000,-0.5426,-0.1398,0.0396,
0.166917,0.1138,0.4702,0.8270,0.0000,0.0000,0.0000,-0.5426,-0.1398,0.0396,
0.169496,0.1138,0.4702,0.8270,0.0000,0.0000,0.0000,-0.1246,0.0955,-0.1041,
0.180404,0.1138,0.4702,0.8270,0.0000,0.0000,0.0000,-0.1246,0.0955,-0.1041,
0.187085,0.1442,0.4381,0.7979,0.0000,0.0000,0.0000,-0.1246,0.0955,-0.1041,
0.206808,0.1048,0.4295,0.8386,0.0000,0.0000,0.0000,-0.1246,0.0955,-0.1041,
0.226688,0.0515,0.4125,0.8972,0.0000,0.0000,0.0000,-0.1246,0.0955,-0.1041,
0.231296,0.0515,0.4125,0.8972,0.0000,0.0000,0.0000,-0.4368,-0.0045,-0.1942,
0.242989,0.0339,0.4663,0.9369,0.0000,0.0000,0.0000,-0.4368,-0.0045,-0.1942,
0.244772,0.0339,0.4663,0.9369,0.1326,0.0611,-0.0775,-0.4368,-0.0045,-0.1942,
0.265999,0.0667,0.4789,0.9363,0.1326,0.0611,-0.0775,-0.4368,-0.0045,-0.1942,
0.286914,0.0779,0.4042,0.8467,0.1326,0.0611,-0.0775,-0.4368,-0.0045,-0.1942,
0.295829,0.0779,0.4042,0.8467,0.1326,0.0611,-0.0775,-0.2268,0.0661,-0.0455,
