
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,I,Azimuth,Pitch,Roll,Gain,Latitude,Longitude,Speed (m/s),
0.103325,-0.0015,-0.0009,0.9919,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.104348,-0.0015,-0.0009,0.9919,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,41.4106,0.0000,0.0000,0.0000,-∞,47.47908378,8.21104676,0.00000000,
0.105205,-0.0022,-0.0002,0.9921,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,41.4106,0.0000,0.0000,0.0000,-∞,47.47908378,8.21104676,0.00000000,
0.105938,-0.0017,-0.0002,0.9921,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,41.4106,0.0000,0.0000,0.0000,-∞,47.47908378,8.21104676,0.00000000,
0.136314,-0.0019,-0.0009,0.9924,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,41.4106,0.0000,0.0000,0.0000,-∞,47.47908378,8.21104676,0.00000000,
0.138010,-0.0019,-0.0009,0.9924,0.0000,0.0000,0.0000,0.0004,0.0022,0.0013,0.0000,0.0000,0.0000,41.4106,0.0000,0.0000,0.0000,-∞,47.47908378,8.21104676,0.00000000,
0.142254,-0.0015,-0.0007,0.9924,0.0000,0.0000,0.0000,0.0004,0.0022,0.0013,0.0000,0.0000,0.0000,41.4106,0.0000,0.0000,0.0000,-∞,47.47908378,8.21104676,0.00000000,
0.143715,-0.0015,-0.0007,0.9924,0.0000,0.0000,0.0000,0.0004,0.0022,0.0013,0.0000,0.0000,0.0000,41.4106,76.9375,-80.2031,6.4688,-∞,47.47908378,8.21104676,0.00000000,
0.158556,-0.0019,-0.0002,0.9924,0.0000,0.0000,0.0000,0.0004,0.0022,0.0013,0.0000,0.0000,0.0000,41.4106,76.9375,-80.2031,6.4688,-∞,47.47908378,8.21104676,0.00000000,
0.182875,-0.0019,-0.0002,0.9924,0.0000,0.0000,0.0000,0.0004,0.0022,0.0013,0.0000,0.0000,0.0000,41.4106,76.9375,-80.2031,6.4688,-∞,47.47908378,8.21104676,0.00000000,
0.183631,-0.0019,-0.0002,0.9924,0.0000,0.0000,0.0000,0.0004,0.0022,0.0013,13.1740,19.7267,-37.2527,41.4106,76.9375,-80.2031,6.4688,-∞,47.47908371,8.21104676,0.00000000,
0.184492,-0.0019,-0.0002,0.9924,0.0000,0.0000,0.0000,0.0004,0.0022,0.0013,13.1740,19.7267,-37.2527,41.4106,76.9375,-80.2031,6.4688,-∞,47.47908371,8.21104676,0.00000000,
0.191912,-0.0019,-0.0002,0.9924,0.0000,0.0000,0.0000,0.0006,0.0022,0.0013,13.1740,19.7267,-37.2527,41.4106,76.9375,-80.2031,6.4688,-∞,47.47908371,8.21104676,0.00000000,
0.192901,-0.0022,-0.0002,0.9926,0.0000,0.0000,0.0000,0.0006,0.0022,0.0013,13.1740,19.7267,-37.2527,41.4106,76.9375,-80.2031,6.4688,-∞,47.47908371,8.21104676,0.00000000,
0.206206,-0.0022,-0.0002,0.9926,0.0000,0.0000,0.0000,0.0006,0.0022,0.0013,13.1740,19.7267,-37.2527,41.4106,76.9375,-80.2031,6.4688,-∞,47.47908371,8.21104676,0.00000000,
